Variant Name	Abbreviation	FACS_Mean_adj-FC	RNA-seq_FC	PlateReader_FC
COMBO-lacOsym-minus35cons-minus10cons-lacO1	C1	15.2	17.676825	18.82996153
DISTAL-lacOsym-20-minus35cons-lacO1_core-minus10cons	D1	10.416826	21.50962	15.32150763
MULTIPLE-lacO1-lacO3-minus35cons-minus10cons-lacO1	M1	20.3085106	24.953194	40.89007023
STERIC-55-up_326x-lacO1-ext_min10-minus10cons-lacO1	S1	15.1168831	34.747025	50.45866403
COMBO-O1_rightSym-minus35_31A_32C-minus10cons-lacOsym	C2	17.6981132	13.4672	28.75698153
DISTAL-lacO2-20-minus35_31A_32C-lacOsym_core-minus10cons	D2	10.1363636	13.238277	4.294333128
MULTIPLE-lacOscram-lacO2-minus35cons-minus10cons-lacOsym	M2	8.21459227	10.6074023	15.72180226
STERIC-55-up_136x-lacO1-ext_min10-minus10cons-lacO1	S2	11.39830508	8.9013392	93.66638909
LacI_distal_offset8_cap_ind_proximal	UV5	5.01149425	3.3041045	4.621538209
DISTAL-lacO3-24-minus35_31A_32C-lacOscram_core-minus10cons	N	0.74795918	0.9857287	0.970101343
