"name" "Library" "Distal" "Min_35" "Min_10" "Prox.Core" "Condition" "Expression" "Sym"
"1" "COMBO-lacOsym-minus35_30C_33T-minus10cons-lacOsym" "COMBO" "lacOsym" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 0.572737909704543 "Yes"
"2" "COMBO-lacO1-minus35_31A_32C-minus10cons-lacO1" "COMBO" "lacO1" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 3.46691321556706 "No"
"3" "COMBO-lacOsym-minus35cons-minus10cons-lacO3" "COMBO" "lacOsym" "minus35cons" "minus10cons" "lacO3" "UnInduced" 3.42997254114731 "No"
"4" "COMBO-lacO2-minus35_33T-minus10cons-lacOscram" "COMBO" "lacO2" "minus35_33T" "minus10cons" "lacOscram" "UnInduced" 3.67679751528635 "No"
"5" "COMBO-lacO3-minus35_30C_33T-minus10cons-lacO2" "COMBO" "lacO3" "minus35_30C_33T" "minus10cons" "lacO2" "UnInduced" 1.12488453059894 "No"
"6" "COMBO-lacOsym-minus35cons-minus10_12A-lacO2" "COMBO" "lacOsym" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 2.90798002210397 "No"
"7" "COMBO-lacOscram-minus35cons-minus10_12G-lacO3" "COMBO" "lacOscram" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 12.5150664735591 "No"
"8" "COMBO-lacOscram-minus35cons-minus10_7A-lacO3" "COMBO" "lacOscram" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 4.46679551176298 "No"
"9" "COMBO-lacO3-minus35cons-minus10_12A-lacOscram" "COMBO" "lacO3" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 1.8873679329319 "No"
"10" "COMBO-lacO1-minus35_31A_32C-minus10cons-lacO2" "COMBO" "lacO1" "minus35_31A_32C" "minus10cons" "lacO2" "UnInduced" 15.2169836801137 "No"
"11" "COMBO-lacOsym-minus35cons-minus10cons-lacO1" "COMBO" "lacOsym" "minus35cons" "minus10cons" "lacO1" "UnInduced" 2.58448013667005 "No"
"12" "COMBO-lacOscram-minus35_33T-minus10cons-lacO2" "COMBO" "lacOscram" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 4.35424167311495 "No"
"13" "COMBO-lacO1-minus35_31A_32C-minus10cons-lacO3" "COMBO" "lacO1" "minus35_31A_32C" "minus10cons" "lacO3" "UnInduced" 2.23830251429403 "No"
"14" "COMBO-lacO1-minus35cons-minus10_12A-lacO1" "COMBO" "lacO1" "minus35cons" "minus10_12A" "lacO1" "UnInduced" 0.927149717718647 "No"
"15" "COMBO-lacOscram-minus35_30C_33T-minus10cons-lacO2" "COMBO" "lacOscram" "minus35_30C_33T" "minus10cons" "lacO2" "UnInduced" 2.22847629891666 "No"
"16" "COMBO-lacO1-minus35_33T-minus10cons-lacO3" "COMBO" "lacO1" "minus35_33T" "minus10cons" "lacO3" "UnInduced" 3.09554517809197 "No"
"17" "COMBO-lacO1-minus35cons-minus10_12G-lacO3" "COMBO" "lacO1" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 1.24900685953672 "No"
"18" "COMBO-lacO2-minus35_30C_33T-minus10cons-lacOsym" "COMBO" "lacO2" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 1.62221606940359 "Yes"
"19" "COMBO-lacO2-minus35_31A_32C-minus10cons-lacOsym" "COMBO" "lacO2" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 0.714656308138206 "Yes"
"20" "COMBO-lacOsym-minus35_33T-minus10cons-lacO1" "COMBO" "lacOsym" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 0.784084523460727 "No"
"21" "COMBO-lacO3-minus35cons-minus10cons-lacO1" "COMBO" "lacO3" "minus35cons" "minus10cons" "lacO1" "UnInduced" 11.3526977495648 "No"
"22" "COMBO-lacOscram-minus35_33T-minus10cons-lacO1" "COMBO" "lacOscram" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 2.46868786137757 "No"
"23" "COMBO-lacO3-minus35_33T-minus10cons-lacO2" "COMBO" "lacO3" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 2.49222892696912 "No"
