"Library" "Prox.Core" "Distal" "Min_10" "Min_35" "ratio"
"1" "COMBO" "lacOsym" "lacOsym" "minus10cons" "minus35_30C_33T" 0.916482346381704
"2" "COMBO" "lacO1" "lacO1" "minus10cons" "minus35_31A_32C" 4.94288482822848
"3" "COMBO" "lacO3" "lacOsym" "minus10cons" "minus35cons" 2.98377327337758
"4" "COMBO" "lacOscram" "lacO2" "minus10cons" "minus35_33T" 0.881668737938045
"5" "COMBO" "lacO2" "lacO3" "minus10cons" "minus35_30C_33T" 0.935582547689307
"6" "COMBO" "lacO2" "lacOsym" "minus10_12A" "minus35cons" 0.494982854116611
"7" "COMBO" "lacO3" "lacOscram" "minus10_12G" "minus35cons" 0.877946570936306
"8" "COMBO" "lacO3" "lacOscram" "minus10_7A" "minus35cons" 0.791460840027715
"9" "COMBO" "lacOscram" "lacO3" "minus10_12A" "minus35cons" 0.755328099865907
"10" "COMBO" "lacO2" "lacO1" "minus10cons" "minus35_31A_32C" 1.64934836637472
"11" "COMBO" "lacO1" "lacOsym" "minus10cons" "minus35cons" 8.97419214645654
"12" "COMBO" "lacO2" "lacOscram" "minus10cons" "minus35_33T" 0.711211145199473
"13" "COMBO" "lacO3" "lacO1" "minus10cons" "minus35_31A_32C" 3.14925215858201
"14" "COMBO" "lacO1" "lacO1" "minus10_12A" "minus35cons" 1.31391081549936
"15" "COMBO" "lacO2" "lacOscram" "minus10cons" "minus35_30C_33T" 0.78434629472335
"16" "COMBO" "lacO3" "lacO1" "minus10cons" "minus35_33T" 1.78706115499345
"17" "COMBO" "lacO3" "lacO1" "minus10_12G" "minus35cons" 1.05624444599662
"18" "COMBO" "lacOsym" "lacO2" "minus10cons" "minus35_30C_33T" 0.935707798064606
"19" "COMBO" "lacOsym" "lacO2" "minus10cons" "minus35_31A_32C" 3.89085243470329
"20" "COMBO" "lacO1" "lacOsym" "minus10cons" "minus35_33T" 4.05382669974647
"21" "COMBO" "lacO1" "lacO3" "minus10cons" "minus35cons" 3.49709198325465
"22" "COMBO" "lacO1" "lacOscram" "minus10cons" "minus35_33T" 1.76998061964525
"23" "COMBO" "lacO2" "lacO3" "minus10cons" "minus35_33T" 0.95040457752128
"24" "COMBO" "lacO2" "lacO1" "minus10_7A" "minus35cons" 0.818547328794642
