"Concentration" "Architecture" "GFP" "OD"
"1" 1e-04 "C1" 223 0.246999994
"2" 1e-04 "C1" 221 0.250200003
"3" 1e-04 "C1" 207 0.227799997
"4" 1e-04 "C2" 153 0.223199993
"5" 1e-04 "C2" 152 0.230000004
"6" 1e-04 "C2" 142 0.183400005
"7" 1e-04 "D1" 323 0.228400007
"8" 1e-04 "D1" 369 0.245499998
"9" 1e-04 "D1" 360 0.240199998
"10" 1e-04 "UV5" 354 0.298000008
"11" 0.001 "C1" 207 0.233199999
"12" 0.001 "C1" 199 0.252299994
"13" 0.001 "C1" 200 0.243000001
"14" 0.001 "C2" 154 0.213300005
"15" 0.001 "C2" 157 0.233099997
"16" 0.001 "C2" 143 0.190500006
"17" 0.001 "D1" 305 0.218600005
"18" 0.001 "D1" 374 0.246099994
"19" 0.001 "D1" 305 0.216700003
"20" 0.001 "UV5" 358 0.274399996
"21" 0.005 "C1" 217 0.224999994
"22" 0.005 "C1" 200 0.233199999
"23" 0.005 "C1" 188 0.221699998
"24" 0.005 "C2" 152 0.193000004
"25" 0.005 "C2" 163 0.239199996
"26" 0.005 "C2" 143 0.173800007
"27" 0.005 "D1" 354 0.205699995
"28" 0.005 "D1" 410 0.218500003
"29" 0.005 "D1" 383 0.207800001
"30" 0.005 "UV5" 481 0.256399989
"31" 0.01 "C1" 253 0.226500005
"32" 0.01 "C1" 281 0.230499998
"33" 0.01 "C1" 256 0.234599993
"34" 0.01 "C2" 184 0.226500005
"35" 0.01 "C2" 202 0.227899998
"36" 0.01 "C2" 177 0.196899995
"37" 0.01 "D1" 544 0.214699998
"38" 0.01 "D1" 654 0.217500001
"39" 0.01 "D1" 820 0.225899994
"40" 0.01 "UV5" 882 0.300999999
"41" 0.1 "C1" 1162 0.250499994
"42" 0.1 "C1" 1072 0.2403
"43" 0.1 "C1" 1111 0.243200004
"44" 0.1 "C2" 413 0.227899998
"45" 0.1 "C2" 429 0.230599999
"46" 0.1 "C2" 372 0.197099999
"47" 0.1 "D1" 2854 0.236399993
"48" 0.1 "D1" 2934 0.232500002
"49" 0.1 "D1" 2763 0.232299998
"50" 0.1 "UV5" 1191 0.287099987
"51" 1 "C1" 1213 0.253800005
"52" 1 "C1" 1335 0.265599996
"53" 1 "C1" 1058 0.238900006
"54" 1 "C2" 387 0.211199999
"55" 1 "C2" 438 0.230000004
"56" 1 "C2" 357 0.201900005
"57" 1 "D1" 2520 0.226899996
"58" 1 "D1" 3252 0.247400001
"59" 1 "D1" 3571 0.255299985
"60" 1 "UV5" 1181 0.272799999
"61" 1e-04 "D2" 167 0.152099997
"62" 1e-04 "D2" 165 0.150900006
"63" 1e-04 "D2" 171 0.150399998
"64" 1e-04 "S1" 264 0.375
"65" 1e-04 "S1" 242 0.342400014
"66" 1e-04 "S1" 251 0.353700012
"67" 1e-04 "S2" 146 0.193800002
"68" 1e-04 "S2" 129 0.175899997
"69" 1e-04 "S2" 129 0.172700003
"70" 1e-04 "UV5" 428 0.405499995
"71" 0.001 "D2" 180 0.173700005
"72" 0.001 "D2" 163 0.161799997
"73" 0.001 "D2" 168 0.164700001
"74" 0.001 "S1" 267 0.385399997
"75" 0.001 "S1" 217 0.284000009
"76" 0.001 "S1" 248 0.343899995
"77" 0.001 "S2" 197 0.346399993
"78" 0.001 "S2" 137 0.216100007
"79" 0.001 "S2" 184 0.316500008
"80" 0.001 "UV5" 455 0.431600004
"81" 0.005 "D2" 175 0.151299998
"82" 0.005 "D2" 171 0.1435
"83" 0.005 "D2" 177 0.150999993
"84" 0.005 "S1" 323 0.373400003
"85" 0.005 "S1" 227 0.225299999
"86" 0.005 "S1" 250 0.255499989
"87" 0.005 "S2" 232 0.287299991
"88" 0.005 "S2" 156 0.234300002
"89" 0.005 "S2" 188 0.274199992
"90" 0.005 "UV5" 417 0.313600004
"91" 0.01 "D2" 202 0.159299999
"92" 0.01 "D2" 191 0.151099995
"93" 0.01 "D2" 188 0.156900004
