OD	GFP/OD	GFP	Run
0.083499998	1209.580869	101	A
0.084899999	1189.634876	101	A
0.082500003	1224.242376	101	A
0.0836	1220.0957	102	A
0.083300002	1236.494569	103	A
0.087800004	1252.847329	110	A
0.101300001	1194.471852	121	A
0.121600002	1101.973666	134	A
0.155900002	1013.470163	158	A
0.198699996	905.8882926	180	A
0.0973	1048.304209	102	A
0.097800002	1042.944769	102	A
0.099699996	1013.039154	101	A
0.099399999	1016.096592	101	A
0.098800004	1042.510084	103	A
0.097099997	1101.956778	107	A
0.100599997	1113.320116	112	A
0.126300007	1005.542303	127	A
0.153699994	943.3962627	145	A
0.138600007	1248.196188	173	A
0.077299997	1293.661107	100	A
0.078000002	1294.871768	101	A
0.080799997	1212.871334	98	A
0.079099998	1264.222537	100	A
0.079700001	1267.252186	101	A
0.075300001	1367.861875	103	A
0.079000004	1341.77209	106	A
0.106600001	1172.607864	125	A
0.121100001	1131.29644	137	A
0.155900002	1064.785108	166	A
0.079599999	1256.281425	100	A
0.083999999	1190.476207	100	A
0.082099997	1266.747922	104	A
0.088399999	1097.285082	97	A
0.086800002	1163.594449	101	A
0.081299998	1230.012332	100	A
0.084399998	1244.075856	105	A
0.089299999	1254.19934	112	A
0.126200005	1030.110891	130	A
0.162799999	1007.371013	164	A
0.081500001	1214.723908	99	A
0.0823	1202.916162	99	A
0.084100001	1177.170028	99	A
0.083499998	1209.580869	101	A
0.086199999	1171.693751	101	A
0.087800004	1195.899723	105	A
0.100699998	1082.423056	109	A
0.116700001	1011.139665	118	A
0.1391	970.5248005	135	A
0.158999994	1012.578652	161	A
0.095299996	1049.317983	100	A
0.100000001	969.9999855	97	A
0.0995	1005.025121	100	A
0.098700002	1033.434631	102	A
0.100299999	1026.919251	103	A
0.100699998	1022.840135	103	A
0.107500002	1041.860448	112	A
0.1197	994.1520494	119	A
0.143900007	938.1514484	135	A
0.2183	765.002291	167	A
0.084200002	1152.018972	97	B
0.0858	1095.571102	94	B
0.0836	1124.40192	94	B
0.084899999	1095.406371	93	B
0.084700003	1157.024749	98	B
0.092100002	1161.78065	107	B
0.112099998	1052.631601	118	B
0.154200003	881.971451	136	B
0.183500007	926.4304834	170	B
0.223100007	878.5297813	196	B
0.0973	996.9167473	97	B
0.098300003	966.4292733	95	B
0.099699996	952.85861	95	B
0.099100001	968.7184549	96	B
0.097599998	993.8524782	97	B
0.098300003	996.9480925	98	B
0.103699997	1031.822594	107	B
0.145999998	883.5616568	129	B
0.179399997	863.9910959	155	B
0.154899999	1174.951585	182	B
0.078400001	1224.489781	96	B
0.0788	1205.583753	95	B
0.081200004	1133.004876	92	B
0.079499997	1207.547212	96	B
0.080600001	1191.066984	96	B
0.076300003	1284.403625	98	B
0.082599998	1246.973403	103	B
0.1237	1010.509294	125	B
0.146599993	975.4434292	143	B
0.194700003	929.6353237	181	B
0.080600001	1203.473932	97	B
0.085900001	1117.578564	96	B
0.084899999	1142.520623	97	B
0.0902	1019.95566	92	B
0.094099998	1052.072281	99	B
0.084200002	1152.018972	97	B
0.0889	1147.356582	102	B
0.095799997	1137.787087	109	B
0.152500004	911.4753885	139	B
0.202700004	888.0118227	180	B
0.083099999	1155.234677	96	B
0.083899997	1168.05725	98	B
0.085500002	1134.502899	97	B
0.084799998	1143.867958	97	B
0.089000002	1101.123576	98	B
0.092200004	1095.444643	101	B
0.110100001	980.9264207	108	B
0.138500005	866.4259615	120	B
0.179499999	791.0863568	142	B
0.193100005	916.6234856	177	B
0.094899997	1001.053771	95	B
0.099699996	922.7683381	92	B
0.098399997	945.1219824	93	B
0.097800002	1012.269923	99	B
0.100000001	989.9999852	99	B
0.101899996	1000.98139	102	B
0.110399999	978.2608809	108	B
0.128600001	933.1259623	120	B
0.175400004	815.2793438	143	B
0.249500006	757.5150105	189	B
0.085000001	1023.529401	87	C
0.086599998	1004.618959	87	C
0.084899999	1036.513555	88	C
0.0876	1027.397258	90	C
0.0911	1009.879255	92	C
0.112400003	916.3700841	103	C
0.173800007	701.9562453	122	C
0.249699995	636.7641299	159	C
0.261099994	731.5205065	191	C
0.247099996	797.2480919	197	C
0.0977	890.4810662	87	C
0.098300003	864.6998761	85	C
0.100599997	854.870803	86	C
0.100400001	856.5736983	86	C
0.101999998	882.3529577	90	C
0.108199999	878.0037071	95	C
0.125599995	820.0637252	103	C
0.221000001	647.0588211	143	C
0.280900002	644.3574191	181	C
0.208000004	913.4615196	190	C
0.0788	1091.370555	86	C
0.0792	1073.232329	85	C
0.082400002	1007.281534	83	C
0.080700003	1078.06688	87	C
0.084600002	1052.009437	89	C
0.082199998	1082.725085	89	C
0.0999	960.9609629	96	C
0.206400007	673.4495895	139	C
0.253399998	643.2517811	163	C
0.248699993	788.0981327	196	C
0.082599998	1089.58841	90	C
0.087099999	1010.33296	88	C
0.094099998	956.429346	90	C
0.093099996	934.4790904	87	C
0.126300007	760.0949691	96	C
0.094400004	953.3897946	90	C
0.102799997	933.8521697	96	C
0.137999997	760.8695843	105	C
0.251100004	609.3189874	153	C
0.255600005	755.0860561	193	C
0.084100001	1034.482752	87	C
0.084799998	1037.73588	88	C
0.087399997	1006.865025	88	C
0.087899998	1012.514246	89	C
0.099799998	911.8236646	91	C
0.109700002	875.113933	96	C
0.172399998	638.0510526	110	C
0.222100005	603.3318201	134	C
0.2861	594.1978326	170	C
0.263000011	730.037991	192	C
0.096199997	925.1559562	89	C
0.100900002	862.2398258	87	C
