Concentration	Architecture	GFP	OD
0.0001	C1	223	0.246999994
0.0001	C1	221	0.250200003
0.0001	C1	207	0.227799997
0.0001	C2	153	0.223199993
0.0001	C2	152	0.230000004
0.0001	C2	142	0.183400005
0.0001	D1	323	0.228400007
0.0001	D1	369	0.245499998
0.0001	D1	360	0.240199998
0.0001	UV5	354	0.298000008
0.001	C1	207	0.233199999
0.001	C1	199	0.252299994
0.001	C1	200	0.243000001
0.001	C2	154	0.213300005
0.001	C2	157	0.233099997
0.001	C2	143	0.190500006
0.001	D1	305	0.218600005
0.001	D1	374	0.246099994
0.001	D1	305	0.216700003
0.001	UV5	358	0.274399996
0.005	C1	217	0.224999994
0.005	C1	200	0.233199999
0.005	C1	188	0.221699998
0.005	C2	152	0.193000004
0.005	C2	163	0.239199996
0.005	C2	143	0.173800007
0.005	D1	354	0.205699995
0.005	D1	410	0.218500003
0.005	D1	383	0.207800001
0.005	UV5	481	0.256399989
0.01	C1	253	0.226500005
0.01	C1	281	0.230499998
0.01	C1	256	0.234599993
0.01	C2	184	0.226500005
0.01	C2	202	0.227899998
0.01	C2	177	0.196899995
0.01	D1	544	0.214699998
0.01	D1	654	0.217500001
0.01	D1	820	0.225899994
0.01	UV5	882	0.300999999
0.1	C1	1162	0.250499994
0.1	C1	1072	0.2403
0.1	C1	1111	0.243200004
0.1	C2	413	0.227899998
0.1	C2	429	0.230599999
0.1	C2	372	0.197099999
0.1	D1	2854	0.236399993
0.1	D1	2934	0.232500002
0.1	D1	2763	0.232299998
0.1	UV5	1191	0.287099987
1	C1	1213	0.253800005
1	C1	1335	0.265599996
1	C1	1058	0.238900006
1	C2	387	0.211199999
1	C2	438	0.230000004
1	C2	357	0.201900005
1	D1	2520	0.226899996
1	D1	3252	0.247400001
1	D1	3571	0.255299985
1	UV5	1181	0.272799999
0.0001	D2	167	0.152099997
0.0001	D2	165	0.150900006
0.0001	D2	171	0.150399998
0.0001	S1	264	0.375
0.0001	S1	242	0.342400014
0.0001	S1	251	0.353700012
0.0001	S2	146	0.193800002
0.0001	S2	129	0.175899997
0.0001	S2	129	0.172700003
0.0001	UV5	428	0.405499995
0.001	D2	180	0.173700005
0.001	D2	163	0.161799997
0.001	D2	168	0.164700001
0.001	S1	267	0.385399997
0.001	S1	217	0.284000009
0.001	S1	248	0.343899995
0.001	S2	197	0.346399993
0.001	S2	137	0.216100007
0.001	S2	184	0.316500008
0.001	UV5	455	0.431600004
0.005	D2	175	0.151299998
0.005	D2	171	0.1435
0.005	D2	177	0.150999993
0.005	S1	323	0.373400003
0.005	S1	227	0.225299999
0.005	S1	250	0.255499989
0.005	S2	232	0.287299991
0.005	S2	156	0.234300002
0.005	S2	188	0.274199992
0.005	UV5	417	0.313600004
0.01	D2	202	0.159299999
0.01	D2	191	0.151099995
0.01	D2	188	0.156900004
0.01	S1	512	0.351099998
0.01	S1	348	0.233199999
0.01	S1	351	0.237399995
0.01	S2	330	0.213599995
0.01	S2	341	0.286900014
0.01	S2	225	0.216800004
0.01	UV5	1006	0.45480001
0.1	D2	371	0.154200003
0.1	D2	328	0.149200007
0.1	D2	335	0.150900006
0.1	S1	1733	0.335799992
0.1	S1	963	0.2192
0.1	S1	1199	0.239399999
0.1	S2	1409	0.37470001
0.1	S2	406	0.179399997
0.1	S2	518	0.203099996
0.1	UV5	1651	0.405999988
1	D2	344	0.156399995
1	D2	342	0.159700006
1	D2	355	0.162699997
1	S1	1281	0.254999995
1	S1	932	0.206
1	S1	973	0.217999995
1	S2	1451	0.379700005
1	S2	567	0.211099997
1	S2	1517	0.385199994
1	UV5	514	0.185200006
0.0001	M1	196	0.207300007
0.0001	M1	206	0.250099987
0.0001	M1	305	0.440800011
0.0001	M2	192	0.173800007
0.0001	M2	255	0.226400003
0.0001	M2	456	0.402799994
0.0001	N	1625	0.233199999
0.0001	N	1420	0.214699998
0.0001	N	1243	0.199499995
0.0001	UV5	112	0.044300001
0.001	M1	212	0.242699996
0.001	M1	195	0.231999993
0.001	M1	313	0.431499988
0.001	M2	180	0.178000003
0.001	M2	249	0.228100002
0.001	M2	540	0.426699996
0.001	N	1329	0.221599996
0.001	N	1254	0.217399999
0.001	N	1328	0.224199995
0.001	UV5	444	0.429199994
0.005	M1	215	0.196099997
0.005	M1	213	0.204999998
0.005	M1	463	0.409999996
0.005	M2	207	0.156200007
0.005	M2	303	0.201100007
0.005	M2	925	0.406300008
0.005	N	1091	0.188299999
0.005	N	1132	0.193000004
0.005	N	1155	0.195999995
0.005	UV5	675	0.394600004
0.01	M1	299	0.194299996
0.01	M1	310	0.201199993
0.01	M1	1158	0.407700002
0.01	M2	274	0.166800007
0.01	M2	526	0.212300003
0.01	M2	1820	0.394800007
0.01	N	1136	0.195500001
0.01	N	1290	0.206
0.01	N	1222	0.203500003
0.01	UV5	777	0.333099991
0.1	M1	939	0.170200005
0.1	M1	945	0.172499999
0.1	M1	1636	0.213
0.1	M2	642	0.154699996
0.1	M2	992	0.172600001
0.1	M2	1808	0.204099998
0.1	N	957	0.171299994
0.1	N	931	0.170399994
0.1	N	874	0.167699993
0.1	UV5	912	0.220100001
1	M1	1054	0.184100002
1	M1	1145	0.194499999
1	M1	3559	0.368999988
1	M2	804	0.171700001
1	M2	1460	0.211899996
1	M2	4145	0.374500006
1	N	1317	0.208100006
1	N	1224	0.197699994
1	N	1457	0.214699998
1	UV5	1379	0.302700013
