name	Library	Distal	Min_35	Min_10	Prox.Core	Condition	Expression	Sym
COMBO-lacOsym-minus35_30C_33T-minus10cons-lacOsym	COMBO	lacOsym	minus35_30C_33T	minus10cons	lacOsym	UnInduced	0.572737909704543	Yes
COMBO-lacO1-minus35_31A_32C-minus10cons-lacO1	COMBO	lacO1	minus35_31A_32C	minus10cons	lacO1	UnInduced	3.46691321556706	No
COMBO-lacOsym-minus35cons-minus10cons-lacO3	COMBO	lacOsym	minus35cons	minus10cons	lacO3	UnInduced	3.42997254114731	No
COMBO-lacO2-minus35_33T-minus10cons-lacOscram	COMBO	lacO2	minus35_33T	minus10cons	lacOscram	UnInduced	3.67679751528635	No
COMBO-lacO3-minus35_30C_33T-minus10cons-lacO2	COMBO	lacO3	minus35_30C_33T	minus10cons	lacO2	UnInduced	1.12488453059894	No
COMBO-lacOsym-minus35cons-minus10_12A-lacO2	COMBO	lacOsym	minus35cons	minus10_12A	lacO2	UnInduced	2.90798002210397	No
COMBO-lacOscram-minus35cons-minus10_12G-lacO3	COMBO	lacOscram	minus35cons	minus10_12G	lacO3	UnInduced	12.5150664735591	No
COMBO-lacOscram-minus35cons-minus10_7A-lacO3	COMBO	lacOscram	minus35cons	minus10_7A	lacO3	UnInduced	4.46679551176298	No
COMBO-lacO3-minus35cons-minus10_12A-lacOscram	COMBO	lacO3	minus35cons	minus10_12A	lacOscram	UnInduced	1.8873679329319	No
COMBO-lacO1-minus35_31A_32C-minus10cons-lacO2	COMBO	lacO1	minus35_31A_32C	minus10cons	lacO2	UnInduced	15.2169836801137	No
COMBO-lacOsym-minus35cons-minus10cons-lacO1	COMBO	lacOsym	minus35cons	minus10cons	lacO1	UnInduced	2.58448013667005	No
COMBO-lacOscram-minus35_33T-minus10cons-lacO2	COMBO	lacOscram	minus35_33T	minus10cons	lacO2	UnInduced	4.35424167311495	No
COMBO-lacO1-minus35_31A_32C-minus10cons-lacO3	COMBO	lacO1	minus35_31A_32C	minus10cons	lacO3	UnInduced	2.23830251429403	No
COMBO-lacO1-minus35cons-minus10_12A-lacO1	COMBO	lacO1	minus35cons	minus10_12A	lacO1	UnInduced	0.927149717718647	No
COMBO-lacOscram-minus35_30C_33T-minus10cons-lacO2	COMBO	lacOscram	minus35_30C_33T	minus10cons	lacO2	UnInduced	2.22847629891666	No
COMBO-lacO1-minus35_33T-minus10cons-lacO3	COMBO	lacO1	minus35_33T	minus10cons	lacO3	UnInduced	3.09554517809197	No
COMBO-lacO1-minus35cons-minus10_12G-lacO3	COMBO	lacO1	minus35cons	minus10_12G	lacO3	UnInduced	1.24900685953672	No
COMBO-lacO2-minus35_30C_33T-minus10cons-lacOsym	COMBO	lacO2	minus35_30C_33T	minus10cons	lacOsym	UnInduced	1.62221606940359	Yes
COMBO-lacO2-minus35_31A_32C-minus10cons-lacOsym	COMBO	lacO2	minus35_31A_32C	minus10cons	lacOsym	UnInduced	0.714656308138206	Yes
COMBO-lacOsym-minus35_33T-minus10cons-lacO1	COMBO	lacOsym	minus35_33T	minus10cons	lacO1	UnInduced	0.784084523460727	No
COMBO-lacO3-minus35cons-minus10cons-lacO1	COMBO	lacO3	minus35cons	minus10cons	lacO1	UnInduced	11.3526977495648	No
COMBO-lacOscram-minus35_33T-minus10cons-lacO1	COMBO	lacOscram	minus35_33T	minus10cons	lacO1	UnInduced	2.46868786137757	No
COMBO-lacO3-minus35_33T-minus10cons-lacO2	COMBO	lacO3	minus35_33T	minus10cons	lacO2	UnInduced	2.49222892696912	No
COMBO-lacO1-minus35cons-minus10_7A-lacO2	COMBO	lacO1	minus35cons	minus10_7A	lacO2	UnInduced	9.76673433437021	No
COMBO-lacOsym-minus35_30C_33T-minus10cons-lacO1	COMBO	lacOsym	minus35_30C_33T	minus10cons	lacO1	UnInduced	1.25770851738534	No
COMBO-lacOscram-minus35_30C_33T-minus10cons-lacO1	COMBO	lacOscram	minus35_30C_33T	minus10cons	lacO1	UnInduced	2.56045122491534	No
