"{0.8913836616966889, 1.67541659048479}","{0.8916763763420645, 1.19369098720756}"
"{0.908350960164945, 0.858729624725453}","{0.9083633964836499, 0.518689225144082}"
"{1.7593969655199628, 1.01007423966773}","{4.289674973387119, 1.74612346373956}"
"{0.8916845630220397, 0.584471866191691}","{0.8916851108811817, 0.633914081628523}"
"{0.9014148769092568, 0.737172417128316}","{1.0911793081298138, 0.834703397120954}"
"{0.9847073679498666, 1.46808574593555}","{1.9611836757932997, 1.84227151684315}"
"{1.133639613523005, 2.52010221160069}","{1.3710958255806045, 1.42356925252544}"
"{22.128118780065687, 66.050382603586}","{22.137099828308017, 72.9285059164382}"
"{4.045767732189667, 11.9128354639168}","{4.263387428127596, 9.06373991833673}"
"{0.8794087155451576, 1.2973005095068}","{0.8798606412756355, 1.07129049703354}"
"{0.8926036992722551, 0.710083724219759}","{0.8947447439310253, 0.518302385377604}"
"{0.8805304084447225, 1.20731884241963}","{0.896024709943914, 1.40913799450168}"
"{0.8853716544484815, 1.71403159555981}","{0.8941634896440808, 1.52717048945622}"
"{0.9150939386612978, 1.2297538412235}","{0.9757609904053337, 0.973977111918856}"
"{0.8800634318549964, 0.932015606322733}","{0.8822571835598516, 1.16259423472968}"
"{0.8867036257299602, 0.875965371403787}","{0.9302128952053385, 0.895646727955947}"
"{0.880317491332326, 1.14279579329659}","{0.8899264395401623, 0.655205580070746}"
"{4.269666473798017, 1.52017969263276}","{4.271116855393867, 1.10961455445611}"
"{1.0499204511165032, 0.897494118701462}","{3.1577858574450355, 1.87972756605325}"
"{0.8861945138025992, 0.58027340907795}","{0.9132323934252699, 0.685750928692764}"
"{0.8803804300003902, 1.38561394527045}","{0.8833445986926018, 1.38719447749448}"
"{2.2218820596033733, 1.71524682515758}","{5.981608430614933, 10.3320892344995}"
"{2.2514883766078504, 5.04451513361854}","{3.510883551596325, 6.50668501268974}"
"{1.4493707210784958, 1.9586166257271}","{1.532143584933747, 1.48766828089774}"
"{1.281165976476145, 1.06636574759152}","{6.054548214603887, 3.95513570387337}"
"{0.8910669686281435, 0.933722507050422}","{0.8916650991336367, 1.06301717265326}"
"{0.8853294205136868, 2.56230308922381}","{0.8912029745111107, 1.97041643645354}"
"{0.8930429277779468, 0.856325885536021}","{1.0205158828709147, 0.488960934087442}"
"{1.079170668912414, 0.784400315204251}","{1.1051854975154707, 0.749860669306865}"
"{1.955415632469282, 1.38118793770741}","{1.9555389954946008, 1.39318119030177}"
"{0.88371916374266, 1.05751632134906}","{0.8837194060433282, 1.02081952053705}"
"{0.9592590444045705, 0.625358640686977}","{1.0947396999777155, 0.635137254901961}"
"{2.5445557612874166, 5.54346962438637}","{4.080286530101045, 7.07516488785839}"
"{19.279345091972345, 53.9757790157161}","{21.95089565834344, 43.7965271551959}"
"{1.1460537761275242, 1.76812834949271}","{1.8646744758241136, 2.37687788380831}"
"{8.020444039363154, 3.92006037673434}","{9.051617513443405, 4.51325254064021}"
"{0.8837178064201767, 1.24122274104085}","{0.8837193162339316, 1.13479072033033}"
"{0.8830018004716058, 1.27132245113078}","{0.8836472025232375, 0.921587833594663}"
"{2.8703952070845538, 3.29128653781711}","{14.530788649378133, 29.3791283842683}"
"{0.8801367468958814, 0.380196548356677}","{0.883486750992476, 0.529095020393294}"
